player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url
43217,2018,130,pierluigi-frattali,Pierluigi Frattali,Italy,Italy,12/1/1985,Goalkeeper,Goalkeeper,Right,185,225000,360000,https://www.transfermarkt.co.uk/pierluigi-frattali/profil/spieler/43217
167444,2018,8970,luca-paganini,Luca Paganini,Italy,Italy,6/8/1993,Attack,Right Winger,Right,177,450000,1530000,https://www.transfermarkt.co.uk/luca-paganini/profil/spieler/167444
131248,2018,8970,joel-campbell,Joel Campbell,Costa Rica,Costa Rica,6/26/1992,Attack,Right Winger,Left,178,1800000,7200000,https://www.transfermarkt.co.uk/joel-campbell/profil/spieler/131248
315846,2018,8970,luca-matarese,Luca Matarese,Italy,Italy,4/16/1998,Attack,Left Winger,Right,177,135000,180000,https://www.transfermarkt.co.uk/luca-matarese/profil/spieler/315846
39690,2018,8970,danilo-soddimo,Danilo Soddimo,Italy,Italy,9/27/1987,Midfield,Left Midfield,Right,180,68000,1080000,https://www.transfermarkt.co.uk/danilo-soddimo/profil/spieler/39690
392926,2018,8970,alessandro-gori,Alessandro Gori,Italy,Italy,1/4/1999,Midfield,Central Midfield,Left,178,,45000,https://www.transfermarkt.co.uk/alessandro-gori/profil/spieler/392926
415550,2018,8970,joaquin-ardaiz,Joaquin Ardaiz,Uruguay,Uruguay,1/11/1999,Attack,Centre-Forward,Left,186,405000,1350000,https://www.transfermarkt.co.uk/joaquin-ardaiz/profil/spieler/415550
303111,2018,8970,emmanuel-besea,Emmanuel Besea,Ghana,Ghana,4/15/1997,Midfield,Central Midfield,Right,186,90000,180000,https://www.transfermarkt.co.uk/emmanuel-besea/profil/spieler/303111
163223,2018,8970,mirko-gori,Mirko Gori,Italy,Italy,2/4/1993,Midfield,Central Midfield,Left,177,225000,1620000,https://www.transfermarkt.co.uk/mirko-gori/profil/spieler/163223
22673,2018,8970,emil-hallfreesson,Emil Hallfreesson,Iceland,Iceland,6/29/1984,Midfield,Central Midfield,Left,185,270000,3150000,https://www.transfermarkt.co.uk/emil-hallfreesson/profil/spieler/22673
464682,2018,8970,andrea-errico,Andrea Errico,Italy,Italy,1/1/1999,Midfield,Central Midfield,Right,178,68000,158000,https://www.transfermarkt.co.uk/andrea-errico/profil/spieler/464682
110928,2018,8970,lorenzo-crisetig,Lorenzo Crisetig,Italy,Italy,1/20/1993,Midfield,Defensive Midfield,Left,184,630000,3600000,https://www.transfermarkt.co.uk/lorenzo-crisetig/profil/spieler/110928
140559,2018,8970,raffaele-maiello,Raffaele Maiello,Italy,Italy,7/10/1991,Midfield,Defensive Midfield,Right,177,720000,1440000,https://www.transfermarkt.co.uk/raffaele-maiello/profil/spieler/140559
287663,2018,8970,luca-valzania,Luca Valzania,Italy,Italy,3/5/1996,Midfield,Central Midfield,Both,184,1350000,1530000,https://www.transfermarkt.co.uk/luca-valzania/profil/spieler/287663
392924,2018,8970,francesco-verde,Francesco Verde,Italy,Italy,3/18/2000,Defender,Right-Back,Right,180,68000,90000,https://www.transfermarkt.co.uk/francesco-verde/profil/spieler/392924
