,club_id,result,name
0,10,0.4177215189873418,arminia-bielefeld
1,1003,0.5365497076023392,leicester-city
2,1005,0.42105263157894735,us-lecce
3,1010,0.3905579399141631,fc-watford
4,1025,0.4148148148148148,fc-bologna
5,1038,0.470125786163522,sampdoria-genua
6,1039,0.35714285714285715,queens-park-rangers
7,1041,0.630057803468208,olympique-lyon
8,10484,0.4543795620437956,kasimpasa
9,1049,0.5636604774535809,fc-valencia
10,105,0.3674698795180723,sv-darmstadt-98
11,1050,0.5900243309002433,fc-villarreal
12,1053,0.5408560311284046,aalborg-bk
13,1063,0.4375,viborg-ff
14,10690,0.5891472868217055,zorya-lugansk
15,1075,0.6350974930362117,sc-braga
16,1082,0.5501567398119123,losc-lille
17,1083,0.5037878787878788,fk-rostov
18,1084,0.391812865497076,fc-malaga
19,1085,0.39473684210526316,vitoria-setubal-fc
20,1090,0.6483679525222552,az-alkmaar
21,1091,0.6904761904761905,paok-thessaloniki
22,1095,0.28846153846153844,es-troyes-ac
23,1096,0.5828571428571429,royal-antwerpen-fc
24,11,0.6458852867830424,fc-arsenal
25,1108,0.43951612903225806,deportivo-alaves
26,1110,0.27011494252873564,huddersfield-town
27,11126,0.39285714285714285,mordovia-saransk
28,11127,0.4474708171206226,ural-ekaterinburg
29,1123,0.312,norwich-city
30,11282,0.5024154589371981,alanyaspor
31,1132,0.4142335766423358,fc-burnley
32,114,0.6617647058823529,besiktas-istanbul
33,1148,0.45098039215686275,fc-brentford
34,1158,0.4,fc-lorient
35,1159,0.34210526315789475,as-nancy-lorraine
36,1160,0.40384615384615385,nimes-olympique
37,1162,0.4026315789473684,sm-caen
38,11688,0.4166666666666667,giresunspor
39,1177,0.4050632911392405,silkeborg-if
40,1184,0.5767918088737202,krc-genk
41,1186,0.49038461538461536,torpedo-moskau
42,12,0.6428571428571429,as-rom
43,121,0.5323275862068966,dinamo-moskau
44,12321,0.4494949494949495,fc-girona
45,1237,0.42786069651741293,brighton-amp-hove-albion
46,124,0.726643598615917,glasgow-rangers
47,1241,0.4645390070921986,livingston-fc
48,1244,0.425414364640884,cd-leganes
49,1245,0.3891891891891892,kas-eupen
50,126,0.40208333333333335,caykur-rizespor
51,1268,0.4098360655737705,ado-den-haag
52,1269,0.4469964664310954,pec-zwolle
53,127,0.3488372093023256,sc-paderborn-07
54,128,0.5,ao-xanthi
55,1283,0.4036697247706422,fc-emmen
56,13,0.6945107398568019,atletico-madrid
57,130,0.34662576687116564,parma-calcio-1913
58,1301,0.4577702702702703,cs-maritimo
59,1304,0.4714285714285714,heracles-almelo
60,131,0.7730337078651686,fc-barcelona
61,132,0.3487394957983193,nac-breda
62,133,0.4152542372881356,sc-cambuur-leeuwarden
63,1390,0.4092526690391459,cagliari-calcio
64,141,0.6152647975077882,galatasaray-istanbul
65,1416,0.3894230769230769,amiens-sc
66,14171,0.34210526315789475,thonon-evian-grand-geneve-fc
67,1420,0.44715447154471544,sco-angers
68,1421,0.4666666666666667,stade-reims
69,1426,0.3904109589041096,vvv-venlo
70,1429,0.36,cesena-fc
71,1435,0.3697478991596639,go-ahead-eagles-deventer
72,1455,0.24444444444444444,fc-dordrecht
73,14589,0.44594594594594594,fk-orenburg
74,1465,0.42857142857142855,gd-estoril-praia
75,1467,0.4418604651162791,goztepe
76,148,0.6352040816326531,tottenham-hotspur
77,15,0.5977653631284916,bayer-04-leverkusen
78,150,0.5129449838187702,real-betis-sevilla
79,1506,0.30660377358490565,kardemir-karabukspor
80,1519,0.4570552147239264,dundee-united-fc
81,1531,0.4263565891472868,fc-elche
82,1533,0.4261168384879725,sd-eibar
83,157,0.6009933774834437,kaa-gent
84,16,0.6614583333333334,borussia-dortmund
85,162,0.6095100864553314,as-monaco
86,16239,0.5285714285714286,desna-chernigiv
87,16247,0.41847826086956524,pfk-stal-kamyanske
88,167,0.421875,fc-augsburg
89,16704,0.6043613707165109,fk-krasnodar
90,16795,0.41346153846153844,fc-granada
91,169,0.5090497737556561,panionios-athen
92,172,0.5617529880478087,rsc-charleroi
93,173,0.4810924369747899,odense-boldklub
94,18,0.56006006006006,borussia-monchengladbach
95,180,0.48328267477203646,fc-southampton
96,18105,0.44,pfk-lviv
97,18303,0.5074257425742574,fk-oleksandriya
98,19,0.2980769230769231,brescia-calcio
99,190,0.6959876543209876,fc-kopenhagen
100,192,0.4065040650406504,roda-jc-kerkrade
101,19657,0.4787234042553192,vendsyssel-ff
102,19771,0.4289772727272727,akhisarspor
103,19789,0.4119318181818182,yeni-malatyaspor
104,20,0.45930232558139533,bursaspor
105,200,0.5743944636678201,fc-utrecht
106,20100,0.4418604651162791,fc-vestsjaelland
107,202,0.49298245614035086,fc-groningen
108,204,0.2833333333333333,lierse-sk
109,206,0.6214788732394366,brondby-if
110,20698,0.3088235294117647,balikesirspor
111,2079,0.38596491228070173,veria-nps
112,21957,0.41216216216216217,ao-platanias
113,22110,0.3953488372093023,fc-helsingor
114,2282,0.6755485893416928,fc-brugge
115,2288,0.43823529411764706,swansea-city
116,2293,0.5017543859649123,konyaspor
117,232,0.5774647887323944,spartak-moskau
118,234,0.6636904761904762,feyenoord-rotterdam
119,235,0.3382352941176471,rkc-waalwijk
120,23611,0.39593908629441626,olimpik-donetsk
121,237,0.36904761904761907,rcd-mallorca
122,2375,0.35,altay-sk
123,2381,0.498015873015873,sivasspor
124,23826,0.6459854014598541,rasenballsport-leipzig
125,24,0.541033434650456,eintracht-frankfurt
126,2410,0.6201923076923077,zska-moskau
127,2414,0.4633333333333333,ac-horsens
128,2420,0.5162866449511401,vitoria-guimaraes-sc
129,2423,0.4803921568627451,cd-santa-clara
130,2424,0.4340277777777778,gil-vicente-fc
131,2425,0.5034965034965035,rio-ave-fc
132,2439,0.44366197183098594,kuban-krasnodar
133,244,0.5893939393939394,olympique-marseille
134,2441,0.6556291390728477,aek-athen
135,2448,0.3865979381443299,sporting-gijon
136,2451,0.5171232876712328,inverness-caledonian-thistle-fc
137,2457,0.431438127090301,belenenses-sad
138,2477,0.36419753086419754,karpaty-lviv
139,2503,0.42678571428571427,boavista-porto-fc
140,252,0.4272151898734177,genua-cfc
141,2553,0.44716981132075473,kilmarnock-fc
142,2578,0.47854785478547857,st-johnstone-fc
143,26459,0.543859649122807,nk-veres-rivne
144,265,0.5970394736842105,panathinaikos-athen
145,2671,0.4919678714859438,pas-giannina
146,2672,0.412568306010929,apo-levadiakos
147,2687,0.4595959595959596,fc-cadiz
148,2696,0.44242424242424244,krylya-sovetov-samara
149,2698,0.49427480916030536,rubin-kazan
150,27,0.8148614609571788,fc-bayern-munchen
